entry_id;calculation_id;spacegroup
17467;5784;Pm-3m
17980;5785;Pm-3m
30370;5787;P4/mmm
10544;5789;Pm-3m
11312;5790;Pm-3m
17987;5791;Pm-3m
10550;5792;Pm-3m
10817;5793;Pm-3m
31106;5810;Fm-3m
10963;5811;Fm-3m
6096;5812;Fm-3m
14050;5813;Fm-3m
18158;5814;Fm-3m
5081;5815;Fm-3m
20743;5820;F-43m
20744;5821;Fm-3m
28037;5826;Fm-3m
17443;5827;Pm-3m
4108;5828;Fm-3m
17448;5830;P4/mmm
17197;5831;P4/mmm
17459;5832;Pm-3m
17492;5833;Pm-3m
5709;5836;F-43m
7247;5847;P63/mmc
7248;5852;P63/mmc
5714;5858;Fd-3m
18159;5860;Fm-3m
22281;5862;Fm-3m
20243;5863;P-6m2
22304;5864;Fm-3m
17212;5867;Pm-3m
8235;5869;F-43m
10797;5870;Pm-3m
30881;5872;P4/mmm
10542;5873;Pm-3m
10799;5875;Pm-3m
17474;5876;Pm-3m
29867;5878;Pm-3m
17746;5880;P4/mmm
6836;5914;Fmmm
6100;5916;Fm-3m
11507;5918;Fm-3m
17170;5919;P4/mmm
10775;5920;Pm-3m
11031;5921;Pm-3m
18741;5923;Pm-3m
21569;5925;P-6m2
30632;5926;P4/mmm
17989;5927;P4/mmm
17479;5928;Pm-3m
29100;5929;Pm-3m
29868;5930;Pm-3m
17481;5931;Pm-3m
10810;5932;Pm-3m
17995;5933;Pm-3m
10813;5937;Pm-3m
4949;5943;Fm-3m
3670;5955;I4mm
3671;5958;I4mm
17750;5970;Pm-3m
18015;5972;Pm-3m
30774;5978;P63/mmc
8161;5980;Fm-3m
11516;5984;Fm-3m
13825;5985;I4/mmm
21519;5986;F-43m
17422;5987;P4/mmm
19509;5993;Fm-3m
31332;6004;Fm-3m
17677;6006;Pm-3m
11013;6008;P4/mmm
3679;6014;Fm-3m
30376;6023;Pm-3m
21321;6024;F-43m
17225;6025;P4/mmm
7479;6027;Imma
10558;6030;Pm-3m
17486;6031;Pm-3m
10561;6032;Pm-3m
5180;6033;Fm-3m
4707;6039;Fm-3m
21307;6043;Pm-3m
21563;6044;Fm-3m
3685;6049;Fm-3m
17703;6050;Pm-3m
7452;6051;F-43m
30616;6054;P4/mmm
30631;6057;P4/mmm
7523;6062;F-43m
3682;6068;Fm-3m
3683;6069;Fm-3m
5736;6073;Fm-3m
21324;6076;Fm-3m
6924;6084;Fm-3m
4109;6085;Fm-3m
17490;6087;P-6m2
10823;6088;Pm-3m
5734;6091;Fm-3m
3684;6094;Fm-3m
5735;6095;Fm-3m
3686;6097;Fm-3m
8120;6100;Fm-3m
4567;6105;Fm-3m
17421;6113;P4/mmm
20240;6114;F-43m
1897;6116;Fm-3m
1898;6119;Fm-3m
17215;6121;P4/mmm
4151;6122;Fm-3m
17751;6123;P4/mmm
12625;6124;Fm-3m
18797;6126;Pm-3m
5737;6127;Fm-3m
5738;6128;Fm-3m
30095;6145;P4/mmm
21322;6147;Fm-3m
4657;6148;F-43m
10822;6150;Pm-3m
5236;6154;Fm-3m
6097;6158;Fm-3m
18979;6159;I41/amd
22310;6160;F-43m
22313;6161;F-43m
5686;6162;Fm-3m
8487;6165;Pm-3m
21323;6166;Fm-3m
30124;6167;P4/mmm
21326;6168;Fm-3m
22360;6169;P-6m2
7540;6176;I4/mmm
29026;6190;Fm-3m
18199;6194;Fm-3m
14102;6198;Fm-3m
21332;6200;F-43m
17780;6203;Pm-3m
8051;6210;I-4m2
18488;6222;P4mm
21327;6223;Fm-3m
13637;6224;P-6m2
17496;6226;P4/mmm
5242;6231;Fm-3m
8472;6235;F-43m
28054;6236;Fm-3m
10539;6239;Pm-3m
11589;6241;Fm-3m
10576;6242;Pm-3m
10087;6245;Fm-3m
29922;6246;Pm-3m
21308;6249;Pm-3m
8239;6251;Fm-3m
5695;6253;Fm-3m
17500;6254;P4/mmm
5238;6256;Fm-3m
14105;6258;Fm-3m
20836;6261;Pm-3m
4708;6262;F-43m
5239;6288;Fm-3m
20089;6291;Pm-3m
6099;6292;Fm-3m
10969;6293;Fm-3m
6101;6294;Fm-3m
10971;6296;Fm-3m
21522;6298;F-43m
21330;6300;F-43m
21338;6301;F-43m
8519;6302;P63/mmc
17248;6303;Pm-3m
18785;6305;Pm-3m
30405;6306;Pm-3m
18050;6310;Pm-3m
17795;6311;Pm-3m
22410;6312;Pm-3m
30778;6320;Fm-3m
8394;6321;P63/mmc
10957;6322;Fm-3m
20522;6327;Pm-3m
27280;6328;R-3m
21325;6329;Fm-3m
20565;6330;Fm-3m
10573;6332;Pm-3m
13907;6333;P-6m2
22370;6334;Fm-3m
20837;6335;Pm-3m
18788;6337;Pm-3m
5241;6343;Fm-3m
4731;6349;F-43m
8113;6351;Fm-3m
8384;6352;Fm-3m
22368;6356;F-43m
10323;6358;Pm-3m
30152;6359;Pm-3m
17512;6360;Pm-3m
8063;6365;Fm-3m
18987;6374;Immm
8273;6377;Fm-3m
29642;6378;Pm-3m
8506;6384;Fm-3m
6098;6415;Fm-3m
5614;6416;Fmmm
10840;6419;Pm-3m
18025;6422;P4/mmm
17522;6427;P4/mmm
20622;6429;Cm
10365;6430;Pm-3m
5771;6433;Fm-3m
7823;6445;P4/mmm
8079;6446;P63/mmc
8080;6450;Pm-3m
11321;6458;Fm-3m
17484;6459;Pm-3m
21331;6460;F-43m
12378;6463;Fd-3m
10846;6465;Pm-3m
30932;6466;P4/mmm
17525;6467;Pm-3m
18038;6469;Pm-3m
30426;6470;Pm-3m
4497;6472;F-43m
4498;6484;F-43m
6293;6489;Pm-3m
9295;6492;P63/mmc
21337;6494;F-43m
14013;6501;Fm-3m
11506;6502;Fm-3m
6296;6504;Fm-3m
8091;6505;Pm-3m
22276;6506;F-43m
21521;6508;F-43m
22303;6510;F-43m
10077;6515;Fm-3m
17776;6516;Pm-3m
18036;6517;P4/mmm
17530;6519;P4/mmm
10623;6522;Pm-3m
8254;6528;Fm-3m
17297;6529;Pm-3m
10375;6531;Pm-3m
18839;6532;Pm-3m
18073;6533;Pm-3m
17306;6534;P4/mmm
27646;6535;P4/mmm
29950;6536;P4/mmm
31231;6537;Pm-3m
10894;6538;Pm-3m
7826;6540;P4/mmm
8507;6543;Fm-3m
17538;6544;Pm-3m
4248;6546;C2/c
22314;6551;Fm-3m
10632;6553;Pm-3m
29957;6554;Pm-3m
3735;6559;Fm-3m
21309;6563;F-43m
8252;6564;Pmm2
5178;6565;Fm-3m
21334;6566;F-43m
10066;6567;Fm-3m
8281;6570;Pm-3m
30434;6573;Pm-3m
17536;6574;Pm-3m
5995;6575;Pm-3m
13691;6576;F-43m
9288;6579;P63/mmc
18044;6581;Pm-3m
27877;6582;P4/mmm
10867;6583;Pm-3m
17541;6584;Pm-3m
21113;6587;Fm-3m
17788;6588;P4/mmm
18067;6589;Pm-3m
10125;6591;P63/mmc
10639;6592;Pm-3m
30950;6597;P4/mmm
