entry_id;calculation_id;name
3900;11099;CeNiC2
20127;110998;SrMnO3
18261;11100;LaInCu2
20129;111007;P2Pb2O7
22361;11101;Ti2AlNi
7747;11102;CrAgSe2
21081;11103;TiAlNi2
3391;11105;LiVS2
10312;11108;YbTlS2
14402;11109;Hg
20951;111097;LiIrF6
17752;11111;NbRu3
20152;111117;AlB3H12
20153;111121;AlB3H12
23390;11113;LiAg
13646;11116;NbP
3649;11117;SbPt
10570;11120;PuAl3
17498;11122;MoIr
30398;11124;GdPb3
3138;11125;NaCrS2
4932;11126;LiCrS2
13391;11131;TaInS2
17243;11132;HfGa3
7496;11134;SiH
20210;111359;Li4BH10N3
18012;11136;TbPt3
21087;11138;Sr2SO
30400;11139;GdPd
30656;11140;LaPd
1858;11141;ZrBr
20223;111411;LiSi3H27C9N2
7497;11142;BN
20232;111453;Li15Si4
17502;11152;NbIr3
20249;111524;SiH6C2
18782;11153;CaPb3
19038;11154;TlBr
20255;111549;Li2BH6N
22536;11155;ZnTe
20259;111561;Tb2Mo2O7
3142;11157;UO3
20262;111573;Tb2Sn2O7
7241;11158;FeNi3
10062;11160;TbGe
20270;111606;Nd11In9Pd4
17759;11162;NbZn3
14682;11164;NbP
29125;11171;CeMg3
31173;11172;DyMg3
7759;11173;VP
4684;11176;PdO
10835;11177;BaBi3
17251;11179;LiMg2Ga
20322;111829;NaFe3H6S2O14
20336;111887;Na2LiH6N3
20365;112007;CuMoO4
20414;112216;EuPH5CO7
20417;112228;BH8CN
20418;112232;CaGe2O5
20459;112387;MnNiGe
20474;112455;Ba2Co9O14
20475;112458;BaCaFe4O7
28581;11247;BP
5428;11248;BN
20496;112556;NdMnO3
20517;112644;DyNiO3
20524;112672;HoMnO3
20536;112722;LuP3O9
20555;112782;Fe3Mo3N
20556;112786;Co3Mo3N
20577;112876;SiO2
20628;113092;BN
20645;113170;H13C10N2
20646;113177;SiH17C11N
20647;113183;Si2H25C10N
20648;113188;NaVSi2O6
20659;113233;LiLa5Ti8O24
20664;113257;Mn4Si7
20669;113277;KBH4C2N8
10750;11331;NdInAu2
10560;11332;PrAl3
20751;113610;BaPr2Ti3O10
20752;113614;BaPr2Ti3O10
20753;113618;BaPr2Ti3O10
20777;113718;Zr4AlNi2
20801;113810;FeBiO3
20812;113855;BaTiO3
20833;113944;SrHfO3
20857;114045;Sb7Mo3
20861;114063;Fe3O4
20870;114100;BaLa2Ti3O10
20871;114104;BaLa2Ti3O10
18000;11415;SmPt3
23395;11417;InPd3
12114;114398;BaTb2NiO5
10814;11448;Ti3Au
12371;11449;AlP
6041;114491;NpBr3
5374;114497;KOsF6
7246;11450;Cu3Au
18021;11452;TmPt3
20993;114633;ReTeSCl4
20995;114640;ReTe2Cl4
21006;114694;Y3In5
21016;114745;Co3W3C
23693;114756;PrB3
21028;114799;GaFe
21029;114803;CrGa
20430;11488;Rb
4311;11489;RbSnS2
21048;114890;Mn2GeTe4
21049;114894;CeVO3
31338;11490;Se
14103;11491;CuBr
17765;11494;NdPd3
21063;114945;CaAl2H8
10587;11495;Tb3Al
18029;11496;VPt3
29905;11497;DyPb3
17518;11498;TaIr3
18031;11499;YPt3
18034;11500;YbPt3
17524;11501;TiIr3
21077;115015;CaB2H8
21100;115105;Na3N
21143;115294;NaTiSi2O6
10819;11535;V3Au
30424;11537;GdTl3
29914;11538;DyPt3
18039;11539;ZrPt3
3167;11540;BeO
10601;11542;TmAl3
21200;115538;NaScB4H16
21218;115618;Li2B12H33N7
21219;115622;Si6H31C10N
15947;11565;TlF
17775;11568;NdSn3
17777;11569;NdTl3
18037;11570;ZnPt3
10602;11571;UAl3
11117;11572;InNi3
17533;11573;VIr3
10093;11574;TiH
18815;11575;CrRh3
21251;115770;LiCoSO4F
21280;115892;La11In9Ni4
21300;115989;Li7Si3
21310;116027;CrCo2Bi
7498;11604;CdSe
5969;11605;ZnS
5970;11606;CdS
10071;11607;UGe3
30161;11608;GaFe3
30421;11609;GdSn3
5987;11610;AlN
5478;11611;AgI
22919;11612;LiAl
22407;11613;Si
5487;11614;LiAlO2
22409;11615;AlCu3
20428;116294;K
21377;116318;Fe3CoBi4O12
30199;116319;YFeGe2
26474;116335;InAsF6
2993;116340;NiPbF6
2896;11647;CsICl2
17544;11649;ZrIr3
18314;11650;DyPd3
21457;116643;YCo
21466;116684;Si10H57C19
21467;116690;SiH6C2
21483;116756;Fe2SiO4
21496;116819;CoTePb2O6
27476;11682;La3Ga
17507;11684;PaIr3
21501;116840;CaB2H14N2
12372;11685;AlAs
17764;11686;NdPb3
18026;11687;V3Pt
2642;11688;Li3Tl
4437;11689;P
10345;11690;Li2AlAg
10099;11691;YbH3
20619;11692;CaAlSiH
17803;11694;SiNi3
21543;117018;Li2PH3O4
21544;117022;Bi2O3
21573;117146;KScB4H16
21586;117201;HCN
21097;11721;Na3N
11876;11723;Ag
29152;11724;CePb3
21599;117254;CsPrZnTe3
10614;11726;YAl3
18055;11728;ScRh3
17808;11730;Ni3Sn
30454;117301;LaGe2
18320;11731;ErPd3
21615;117320;CaSiN2
21629;117385;SiO2
21631;117395;SiO2
21643;117450;SiO2
21653;117490;SiO2
4700;11761;CrSe
10604;11762;Al3V
10611;11763;Y3Al
20623;11764;BN
18066;11765;TaRh3
21691;117653;Si4H36C13
21694;117667;CdSiO3
23013;117685;Rb2IrF6
21699;117694;K3NaFeCl6
21702;117708;La2RuO5
21710;117742;CaCuGe2O6
21711;117749;GdFe3B4O12
21746;117900;Nb2Tl4Se11
21766;117982;Cu4WS4Cl4
8280;11805;TiAs
26847;11807;InPd3
21787;118072;ScBiO3
10100;11810;ZrH
30964;11812;Pr3Sn
21800;118122;BaYCo2O5
18834;11813;EuSn3
10118;11814;InPt3
17303;11815;TbGa3
31227;11816;DyIn3
21374;118196;Hf2Bi
21834;118273;SiO2
21835;118277;SiO2
21836;118284;Li5VP2O8F2
21837;118288;InBiO3
21840;118299;CaTiGeO5
21851;118360;Eu8C4I9N7
17504;11840;NdIr3
17769;11841;NdPt3
5716;11842;NiAs
30682;11843;LiSnPd2
17286;11844;GaPt3
11130;11845;InPd3
18074;11848;TiRh3
21894;118538;BaYbCo4O7
17227;11876;Fe3Pd
5981;11877;PtS
21951;118787;LiAs3H2O9
17529;11879;UIr3
7023;11880;Ag3Sb
18071;11881;ThRh3
21957;118816;KB21H18
10122;11882;FeIr3
10638;11885;InAg3
21972;118888;KLiB2H8
22004;119022;AlH12C3N3
22024;119117;Sn14Sb11Pt8
6466;11916;LiN3
17514;11918;SnIr
16052;119187;Na5LiN2
22041;119197;TlVTeO5
27614;11921;MgInAg2
10349;11922;Zn2AgAu
18046;11923;PuSn3
10618;11924;YbAl3
29948;11925;DyTl3
22057;119252;NaPO3
18081;11926;VRh3
22060;119267;RbLiSO4
17057;11927;MgCd
22070;119308;CeCu6
22075;119329;B6H13CN4
22078;119341;Li7La3Hf2O12
22079;119345;Mn7BiO12
22085;119370;Li3VH16O12
22120;119510;Sm2CuAs3O
22130;119554;Ho3Sn7
30569;11956;Li2InIr
3061;11957;BaO
17231;11961;Fe3Sn
18511;11962;Li2InIr
18787;11964;Li2CdSn
26573;11966;SrFeO2
7812;11972;TePd
11157;11974;Sc3In
11158;11976;ScIn3
30987;11977;TiPt3
19112;11978;Cd3In
22194;119832;Al4Si19
20049;11991;InSb
4696;11995;CuI
22224;119950;KSi2H14C4N
31226;11997;ErIn3
17569;11998;LaPd3
22231;119980;Nb4Ag2O11
22232;119984;Nb4Ag2O11
29195;11999;CeSn3
7834;12000;Pd3Pb
22274;120153;Ca5Ge3
4612;12027;BPt
5148;12028;NaHF2
14667;12029;RbYbS2
5720;12030;NiSe
11111;12031;NdIn3
27631;12034;Ag3Pt
5507;12035;LiGaO2
22325;120355;CaSi7Ir3
7825;12037;FePt3
17578;12038;LaSn3
10655;12039;MgAg3
8276;12044;TaAs
20846;12045;O
10355;12047;Li2AgBi
4466;12048;VSb
29167;12049;CeRh3
5764;12050;Si
17062;12051;NbCd3
11165;12052;TbIn3
18866;12053;ScIr3
22427;120792;MnRePb2O6
3643;12082;RbN3
1876;12085;InBi
5217;12087;HCl
21388;12088;MoN
20620;12089;SrAlSiH
20621;12091;BaAlSiH
19086;12092;AlPt3
22163;12095;InCu
5824;12096;WN2
19953;12097;AlCl3
3555;12098;CrS
10505;12099;Mn2AlV
22373;12101;Mn2AlV
22481;121028;Zr6CuBi2
4457;12105;LiHF2
13429;12106;CdHgO2
22489;121060;Nd5Ni19
3451;12107;LiMgSnPd
18078;12113;URh3
22179;12115;BaSrO2
22182;12116;BaCaO2
18089;12119;ZrRh3
7832;12120;SbPd
29199;12121;CeTl3
29969;12122;ErGa3
22532;121221;Co5Ge7
22533;121223;CoN
16043;12123;NaLi2N
16045;12124;NaLi2N
21687;12126;AgSbTe2
22546;121269;Sn2ClF3
11173;12127;TmIn3
30235;12128;FePd3
11180;12129;YbIn3
18109;12130;USi3
22554;121304;Li3Nd2B3O9
22555;121309;Li6YbB3O9
17342;12131;Ni3Ge
22431;12133;TcN
10641;12135;Li2InAg
17582;12137;La3Tl
18878;12139;WO3
18880;12140;TlPd3
22584;121437;Cs2NaAlF6
22611;121561;Cs3Mo2O6F3
22630;121645;Na2UBr6
22636;121675;Li10B14Cl2O25
2923;121718;ThTi2O6
4404;12172;HgCl
5717;12173;NiSb
28881;12174;LuNiC2
5722;12175;NiS
24284;12177;RbTbSe2
22660;121778;K2SiO3
10123;12179;CuAu3
22666;121806;B10H13
22667;121813;B10H13
18854;12182;MnH
17581;12183;LaTl3
22673;121837;CsEuCl3
5787;12184;NaErS2
17333;12186;GdPt3
17589;12187;Li2MgTl
30238;12188;Fe3Pt
22686;121891;B5H4N2
18112;12190;SmTl3
22724;122055;La2NiO4
12373;12214;GaP
12375;12215;ZnTe
13690;12219;MnSbRh2
22756;122190;NaLi3SiO4
22757;122194;NaLi3GeO4
22678;12220;TlCrS2
22770;122248;PtPb2O4
22771;122255;CsLuW2O8
23116;122347;Rb4CO4
22804;122384;BaZr2F10
22812;122417;K4LiIO6
10663;12247;PrAg2
20575;12248;MgO
22830;122495;Cu2WO4
16488;12250;NaC
20083;12253;Pu3Sn
5225;12255;HBr
11139;12256;PrIn3
22847;122567;CaCoP2O7
22176;12259;SrCaO2
17568;12260;LaPb3
17573;12261;LaPt3
17065;12262;ZnCdPt2
10652;12263;Li2AgSn
22864;122639;MnSb2O6
15014;12264;VSe
17599;12265;Li3Pd
22905;122805;Li17Sn4
22910;122824;Th4In21Pd10
22911;122831;Zn5Co2
22924;122887;Eu5Ga9
13918;12289;TbNiC2
