material_id;formula_pretty
mp-1130796;KPS3
mp-1130862;LiB(CN)4
mp-11311;TmCd2
mp-1131151;Be2Fe
mp-1131180;K2NaAlAs2
mp-1131198;Tm(CuS)2
mp-1131210;Sr2Cu(IO)2
mp-1131217;K2O
mp-1131270;K2O
mp-1131409;TlInS2
mp-1131518;ZrAl5Ni2
mp-1131610;BaTaS3
mp-1131932;LaPIr
mp-1132197;LaZnSbO
mp-1132271;PNF2
mp-1132304;PNF2
mp-1132458;SmCrO3
mp-1132510;GdScGe
mp-1132520;K2SnCl6
mp-1132565;SiO2
mp-1132575;YbCuAs2
mp-1132589;SiO2
mp-1132592;NaHCO3
mp-1132613;SiO2
mp-1132631;CaSnO3
mp-1132749;Yb(MnSi)2
mp-1132799;SiO2
mp-1132831;SiO2
mp-1132873;SiO2
mp-1132884;SiO2
mp-1132893;SiO2
mp-1132983;K2SnCl6
mp-1133067;CaH2(CO2)2
mp-1133277;SiO2
mp-1133279;SiO2
mp-1133280;SiO2
mp-1133290;SiO2
mp-1133292;SiO2
mp-1133293;SiO2
mp-1133301;SiO2
mp-1133304;SiO2
mp-1133313;SiO2
mp-1133314;SiO2
mp-1133323;SiO2
mp-1133326;SiO2
mp-1133334;SiO2
mp-1133340;Gd(SiIr)2
mp-1133348;SiO2
mp-1133352;SiO2
mp-1133360;SiO2
mp-1133366;SiO2
mp-1133367;SiO2
mp-1133583;Hf(Te2Cl3)2
mp-1133800;Li2O
