material_id;band_gap
mp-1242371;0
mp-1242404;1.4222
mp-1242497;3.9838
mp-1242540;6.1204
mp-1242792;0
mp-1243095;1.0404
mp-1243177;0
mp-1243249;1.1919
mp-1243250;0
mp-1243840;0
mp-1248130;0
mp-1248793;0
mp-1249069;0
mp-1249821;1.0267
mp-1249955;0
mp-1250030;0
mp-1250704;1.0211
mp-1251192;0
mp-1252832;0
mp-1252998;0
mp-1253282;0
mp-1253380;0
mp-1253944;0
mp-1255012;0
mp-1256345;1.0439
mp-1256381;0
mp-1256437;0
mp-1257315;0
mp-1257336;0
mp-1257574;0
mp-1258108;0
mp-1258159;0
mp-1258160;0
mp-1258282;0
mp-1258423;0
mp-1258426;0
mp-1258485;0
mp-1258627;0
mp-1258971;0
mp-1259078;0
mp-1259208;0
mp-1259341;0
mp-1260453;0
mp-1260568;0
mp-1260592;0
mp-1260898;0
mp-1261195;0
mp-1261378;0
mp-1262105;0
mp-1262134;0
mp-1262833;0
mp-1263063;0
mp-1263090;0
mp-1263208;0
mp-1263233;0
mp-1263347;0
mp-1263821;0
mp-1264161;0
mp-1264539;0
mp-1264673;0
mp-1264832;0
mp-1266667;0
mp-1266702;0
mp-1267114;0
mp-1267146;0
mp-1267306;0
mp-1267849;0
mp-12780;0.0684
mp-12919;0
mp-1299942;0
mp-1300125;0
mp-1300137;0
mp-1300278;0
mp-1300305;2.5598
mp-1300309;0
mp-1300528;0
mp-1300666;7.1177
mp-1300906;0
mp-1300992;1.8715
mp-13070;0
mp-13132;0.4028
mp-1324129;1.7257
mp-1325397;1.4076
mp-1326047;0.3719
mp-1326599;0
mp-1326726;3.6289
mp-13272;0
mp-1327240;5.5716
mp-1327891;2.3794
mp-1329705;2.1376
mp-1334065;3.7742
mp-1336758;0
mp-1337168;5.7984
mp-1337737;3.3362
mp-13398;0
mp-1340982;2.4273
mp-1346666;1.7294
mp-1349404;0
mp-1350424;4.6401
mp-1351082;4.0133
mp-1353639;0.4507
mp-1354069;0.0459
mp-1354679;3.9683
mp-1354952;1.8987
mp-1355968;3.0969
mp-1357271;1.6865
mp-1358032;0.5469
mp-1358106;3.1055
mp-1358739;4.1974
mp-13590;6.3633
mp-1359029;4.0987
mp-1359931;3.7365
mp-1360255;5.298
mp-1362111;4.6581
mp-1363587;1.376
mp-1364247;0.9798
mp-1364516;5.492
mp-1367497;0
mp-1369030;2.4139
mp-1369150;0.4091
mp-1371561;5.8117
mp-1371741;0
mp-1375264;2.447
mp-1379056;5.3291
mp-1380263;5.0098
mp-1380882;0.1602
mp-1380926;1.6092
mp-1381268;0
mp-1381430;3.7443
mp-1382008;0
mp-1382615;0
mp-1383045;7.4699
mp-1385379;4.265
mp-1385514;0.9312
mp-1387417;5.1655
mp-1388362;3.0069
mp-1389473;0
mp-1390078;0
mp-1390129;0
mp-1392416;3.6603
mp-1393028;4.6958
mp-1393343;5.0745
mp-1394352;0
mp-1394765;3.9889
mp-1398178;0
mp-1401963;2.1506
mp-1402673;4.6602
mp-1403972;0
mp-1404866;0
mp-1406726;0.0706
mp-1409391;0
mp-1411251;0
mp-1412944;0
mp-1413775;0
mp-1414588;0
mp-1415188;1.2504
mp-1415216;0
mp-1415337;0.3482
mp-1415528;0
mp-1415922;3.2662
mp-1416025;0
mp-1416057;0
