material_id;spacegroup
mp-1071747;P4_2/mnm
mp-1071749;P4_2/mnm
mp-1071752;P4_2/mnm
mp-1071755;P4_2/mnm
mp-1071820;Ibam
mp-1071825;Ibam
mp-1071830;Ibam
mp-1071833;Ibam
mp-1072073;Fd-3m
mp-1072128;Fd-3m
mp-1072147;Fd-3m
mp-1072154;Fd-3m
mp-1072352;P4_2/mnm
mp-1072364;P4_2/mnm
mp-1072367;P4_2/mnm
mp-1072372;P4_2/mnm
mp-1072615;Fddd
mp-1072624;Fddd
mp-1072643;Fddd
mp-1072661;Fddd
mp-1072922;Cmcm
mp-1072948;Cmcm
mp-1072975;F-43m
mp-1072977;Cmcm
mp-1075905;Pm-3m
mp-1075908;Pm-3m
mp-1075909;Pm-3m
mp-1075910;Pm-3m
mp-1076948;Cmcm
mp-1076957;P4_2/mnm
mp-1076978;P4_2/mnm
mp-1077127;F-43m
mp-1077213;Cmcm
mp-1077262;F-43m
mp-1077283;P4_2/mnm
mp-1077377;P6_3/mmc
mp-1077438;Cmcm
mp-1077503;Cmcm
mp-1077535;Fddd
mp-1077573;Cmcm
mp-1077592;P4_2/mnm
mp-1077754;Cmcm
mp-1077777;I4/mmm
mp-1077816;F-43m
mp-1077835;Fddd
mp-1077911;P4/mmm
mp-1077947;R-3m
mp-1078016;I4/mmm
mp-1078053;P-42m
mp-1078094;I-4
mp-1078096;R-3m
mp-1078110;R3m
mp-1078423;Fm-3m
mp-1078485;P6_3/mmc
mp-1078492;Cmcm
mp-1078513;I4_1/amd
mp-1078609;Pnma
mp-1078621;I4/mcm
mp-1078701;P3_221
mp-1078757;P-62m
mp-1078871;R3c
mp-1078910;P4/nmm
mp-1078921;P6_3/mmc
mp-1079060;P3_221
mp-1079087;P6_3/mmc
mp-1079154;I4_1/amd
mp-1079185;R3c
mp-1079240;P6_3/mmc
mp-1079291;P3_221
mp-1079556;R3c
mp-1079590;R3c
mp-1079639;P6_3/mmc
mp-1079653;R-3c
mp-1079697;Cmcm
mp-1079814;Cmcm
mp-1079865;P3_221
mp-1079868;P-62m
mp-1079952;Pnma
mp-1080054;P-62m
mp-1080398;Cmcm
mp-1080414;F-43m
mp-1080441;P6_222
mp-1080490;P3_221
mp-1080495;P-62m
mp-1080597;Cmcm
mp-1080708;Cmcm
mp-1080741;P3_221
mp-1080767;P4/nmm
mp-1080813;R-3c
mp-1084756;I4/mcm
mp-1084829;I4/mcm
mp-10851;P6_422
mp-1086653;P4_2/mmc
mp-1087536;P3_221
mp-1091364;Cmcm
mp-1092253;P6_3/mmc
mp-1093989;Pm-3m
mp-1094058;I-42d
mp-1094617;R-3m
mp-1094620;P3m1
mp-1094621;C2/m
mp-1094627;P-6m2
mp-1094632;Amm2
mp-1094636;Fm-3m
mp-1094637;Amm2
mp-1094643;Cm
mp-1094648;Amm2
mp-1094650;Cm
mp-1094654;F-43m
mp-1094655;I4_1/a
mp-1094661;C2
mp-1094667;Cm
mp-1094672;Amm2
mp-1094729;Pmmn
mp-10948;Pbcn
mp-1094849;Pm-3m
mp-1094850;P-6m2
mp-1094858;P-3m1
mp-1094863;Pmma
mp-1094883;P4/mmm
mp-1094992;P6_3mc
mp-1095013;P6_3/mmc
mp-1095123;P4/nmm
mp-1095518;P6_3/mmc
mp-1095525;Pnma
mp-1095537;Immm
mp-1095538;Immm
mp-1095578;I4/mcm
mp-1095653;Immm
mp-1095681;Pa-3
mp-1096765;C2
mp-1096829;P6_3/mmc
mp-1097026;Pm-3m
mp-1097825;P6_3/mmc
mp-1097866;Pn-3m
mp-1097878;I4/mmm
mp-1100398;F-43m
mp-1101067;R-3c
mp-1101072;P6_3/mmc
mp-1101660;P2_1/m
mp-1101733;C2/m
mp-1101912;P2_13
mp-1101956;Pnma
mp-1101984;P6_3/mmc
mp-1102075;P2_1/m
mp-1102102;P6_3/mmc
mp-1102123;P6_3/mmc
mp-1102273;Pnma
mp-1102396;Pnma
mp-1102406;P6_3/mmc
mp-1102509;Immm
mp-1102522;Immm
mp-1102556;P6_3/mmc
mp-1102569;Pnma
mp-1102572;P6_3/mmc
mp-1102594;I4/mcm
mp-1102686;P6_3/mmc
mp-1102759;P6_3/mmc
mp-1103053;C2/m
mp-1103078;P6_3/mmc
mp-1103088;R-3m
mp-1103117;Immm
mp-1103163;Pnma
mp-1103192;P6_3/mmc
mp-1103321;P6_3/mmc
mp-1103350;P6_3/mmc
mp-1103379;C2/m
mp-1103949;Cmc2_1
mp-1103992;C2/c
mp-1104901;C2/c
mp-1105170;P6_3/m
mp-1105380;Pnma
mp-1105588;P2_1/c
mp-1105788;Pnma
mp-1106082;Pnma
mp-1106143;I4_1/a
mp-1106237;R-3m
mp-1112600;Fm-3m
mp-1113133;Fm-3m
mp-1114723;P2_1
mp-1114737;P3_221
mp-1114739;I-42d
mp-1114759;F-43m
mp-1114795;P6_422
mp-1114822;P-42_1m
mp-1114896;C2
mp-1114899;C222_1
mp-1114903;P1
mp-1114904;Ima2
mp-1114907;Cc
mp-1114911;P1
mp-1114912;Cc
mp-1114925;Ama2
mp-1114941;I-4
mp-1114955;Pna2_1
mp-1114969;Pmn2_1
mp-1115020;R32
mp-1115055;P6_222
mp-1115081;I-4
mp-1115127;P-62m
mp-1115292;C2
mp-1115297;P2_1
mp-1115320;P4_12_12
mp-1115332;P4_32_12
mp-1115375;I-42m
mp-1115395;P-6m2
mp-1115411;P-6m2
mp-1115499;P6_3mc
mp-1115501;P6_3mc
mp-1115637;C2
mp-1115679;F-43m
mp-1115681;I-43m
mp-1115706;P-6m2
mp-1115719;P-62m
mp-1115739;P6_422
mp-1115786;P-6m2
mp-1115789;P6_3mc
mp-1116021;P-62m
mp-1116053;P-62m
mp-1116145;R3m
mp-1116204;F-43m
mp-1116235;Cmmm
mp-1116340;P-62m
mp-1116380;P-1
mp-1116485;P2_12_12_1
mp-1116803;Cc
mp-1116847;P2_1
mp-1117471;Pmna
mp-1117593;Pmc2_1
mp-1117605;P1
mp-1117622;P2_13
mp-1117672;Cmc2_1
mp-1117679;Cmc2_1
mp-1117692;P4_32_12
mp-1117697;I4/mcm
mp-1117698;I-42m
mp-1117708;P-4
mp-1117736;Pbcn
mp-1117753;P-4n2
mp-1117821;P-4c2
mp-1117844;P1
mp-1117872;I2_12_12_1
mp-1117910;P4_12_12
mp-1117938;P-43m
mp-1118008;P23
mp-1118078;P1
mp-1118147;Pm
mp-1118175;P6_422
mp-1118239;P1
mp-1118683;Cmcm
mp-1118702;Cmcm
mp-1119441;Cmcm
mp-1119501;P1
mp-1119505;P6_322
mp-1119509;Cmc2_1
mp-1119513;Pmc2_1
mp-1119521;P6_3mc
mp-1119665;P3_221
mp-1119669;P3_121
mp-1119775;C222_1
mp-1119923;P6_3mc
mp-1120325;P6_3/mmc
mp-1120328;P6_3/mmc
mp-1120330;P6_3/mmc
mp-1120340;I-43d
mp-1120586;Im-3m
mp-1120587;Fm-3m
mp-1120597;R-3m
mp-1120675;Fm-3m
mp-1120855;Pnma
mp-1120961;P-1
mp-1120976;Pm-3m
mp-1121169;P6_3/m
mp-1121291;P-62m
mp-1121422;Pnma
mp-1121593;Fm-3m
mp-1121844;C2/m
mp-1121895;P4_2/nbc
mp-1121915;C2/m
mp-1121922;P6_322
mp-1121927;P1
mp-1121933;I4_1/amd
mp-1121957;P-4
mp-1121983;Pna2_1
mp-1121996;C2/c
mp-1122037;P4/nnc
mp-1122042;R-3m
mp-1122060;I-42m
mp-1122090;I4_1/amd
mp-1122187;P2/c
mp-1122267;R-3c
mp-1122276;C2/m
mp-1122344;P2_1/c
mp-1122385;P4_2/mmc
mp-1122389;Fddd
mp-1122413;Pnnm
mp-1122490;P-1
mp-1122504;Pc
mp-1122558;Fm-3m
mp-1122565;P-1
mp-1122588;P4/nnc
mp-1122591;I4/mcm
mp-1122594;Cc
mp-1122615;Im-3m
mp-1122649;I4/mmm
mp-1122654;P4/nbm
mp-1122686;Imma
mp-1122756;C222
mp-1122827;Cmmm
mp-1122853;I4_1/amd
mp-1122861;C2
mp-1122887;I-4
mp-1122899;I4/mcm
mp-1122945;P-1
mp-1122961;Pbcn
mp-1122976;P2
mp-1122993;P4_2/mbc
mp-1123011;Pmma
mp-1123015;Pbcn
mp-1123026;Ama2
mp-1123049;P-42_1c
mp-1123070;Cc
mp-1123170;C2
mp-1123200;P6_322
mp-1123217;C2/c
mp-1123226;Pa-3
mp-1123253;Cmcm
mp-1123302;Pa-3
mp-1123373;P1
mp-1123422;Cmc2_1
mp-1123443;I4_1/amd
mp-1123543;Fmmm
mp-1123624;Fm-3m
mp-1123743;C222_1
mp-1123745;P4/n
mp-1123822;P4_32_12
mp-1123865;P4_12_12
mp-1123866;I4/mmm
mp-1124029;P1
mp-1124050;P2/c
mp-1124056;Pm
mp-1124082;P1
mp-1124084;P2_1
mp-1124119;C222_1
mp-1124121;P2_1
mp-1124122;C2
mp-1124152;P6_3/mmc
mp-11242;F-43m
mp-1124355;Pc
mp-1124395;F-43m
mp-1124489;P6_422
mp-1124523;P6_3/mmc
mp-1124561;R32
mp-1124562;R-3c
mp-1124569;P3_221
mp-1124621;Pm-3m
mp-1124737;C2/m
mp-1124747;P3_221
mp-1124761;P3_121
mp-1124804;P6_3/mmc
mp-1124831;P3_221
mp-1124832;P6_222
mp-1124860;P2_1/m
mp-1124863;P4_2/mmc
mp-1124874;P4_2/mmc
mp-1124889;Imm2
mp-1124892;Cmcm
mp-1124908;I-4
mp-1124909;Cmc2_1
mp-1124913;P4_32_12
mp-1124920;Pbcm
mp-1124921;Ibam
mp-1124936;P-1
mp-1124940;C222
mp-1124947;I4/mmm
mp-1124963;Fd-3m
mp-1124964;Cmce
mp-1124966;P2_1/c
mp-1124971;Imma
mp-1124972;I4_1/amd
mp-1124983;Cmcm
mp-1124986;P4/nmm
mp-1124994;I4/mcm
mp-1124997;Cmcm
mp-1125001;P6/m
mp-1125004;Ia-3d
mp-1125017;Pmna
mp-1125019;Imma
mp-1125024;Cmce
mp-1125030;Pbcm
mp-1125042;Cmce
mp-1125048;Cmcm
mp-1125049;Cmce
mp-1125050;Cmce
mp-1125058;P2_12_12_1
mp-1125061;Cmme
mp-1125063;Pmma
mp-1125069;Immm
mp-1125078;Pmmn
mp-1125083;Pnma
mp-1125101;P4_2/ncm
mp-1125109;Pna2_1
mp-1125114;I4/mmm
mp-1125118;Pmma
mp-1125126;P6/mmm
mp-1125139;C2/c
mp-1125151;Cmcm
mp-1125159;I4/mmm
mp-1125160;P6/mmm
mp-1125164;C2/m
mp-1125168;C2/c
mp-1125171;I2_12_12_1
mp-1125177;P4_2/mbc
mp-1125181;I4/mmm
mp-1125182;P3_121
mp-1125185;I4_1/amd
mp-1125186;F-43m
mp-1125201;Cc
mp-1125231;Im-3m
mp-1125234;Pmma
mp-1125235;I-4
mp-1125237;Cmcm
mp-1125241;C222_1
mp-1125244;C2/m
mp-1125252;Imm2
mp-1125257;Immm
mp-1125261;Cmcm
mp-1125271;C2/c
mp-1125283;C2/m
mp-1125292;P-1
mp-1125300;P4_2/mmc
mp-1125308;C2/m
mp-1125312;Pca2_1
mp-1125313;Pm-3m
mp-1125314;Pmmn
mp-1125326;Ima2
mp-1125335;P4_2/nbc
mp-1125336;I4/mmm
mp-1125542;P-1
mp-11256;Pm-3m
mp-1125632;C2/c
mp-1125690;P4/nmm
mp-1125731;P6_3mc
mp-1125790;R-3
mp-11258;Pm-3m
mp-1125908;P6/mmm
mp-1126122;P-3m1
mp-1126182;C2/c
mp-1126411;P4/nmm
mp-1126528;Pnma
mp-1126574;Pm-3m
mp-1126656;C2/m
mp-1126775;Fddd
mp-1126816;P-3m1
mp-1126860;P2_1/c
mp-1126963;P2_1/c
mp-1126994;F-43m
mp-1127009;P4/nmm
mp-1127129;Cmcm
mp-1127229;P4/nmm
mp-1127261;P6_3/mmc
mp-1127337;P4/nmm
mp-1127405;Fm-3m
mp-1127643;I4/mmm
mp-1127722;Pnma
mp-1127801;Pm-3m
mp-1127825;Pm-3m
mp-1128005;I4/mmm
mp-1128039;P6/mmm
mp-1128069;I-42m
mp-1128096;Ima2
mp-1128113;P1
mp-1128118;I4_122
mp-1128249;P1
mp-1128253;I2_12_12_1
mp-1128381;Pmmn
mp-1128420;P1
mp-1128435;I4/mmm
mp-11285;I-43m
mp-1128688;P6/mmm
mp-1128740;C2/m
mp-1128755;R-3
mp-1129248;P4_2/mbc
mp-1129310;Pbam
mp-1129375;Pmc2_1
mp-1129403;P3_221
mp-1129404;Pbcn
mp-1129414;Pbcn
mp-1129439;Pbcn
mp-1129442;P3_221
mp-1129453;Pbcn
mp-1129461;P3_221
mp-1129472;P3_221
mp-1129648;P4/nmm
mp-1129842;P6_3/mmc
mp-1130024;C2/m
mp-1130071;Pmc2_1
mp-1130155;P6_3/mmc
mp-1130205;Pbcn
mp-1130281;P2_1/c
mp-1130792;Cmmm
mp-1130796;Immm
mp-1130862;P-43m
mp-11311;P6/mmm
mp-1131151;P6_3/mmc
mp-1131180;Ibam
mp-1131198;P-3m1
mp-1131210;I4/mmm
mp-1131217;P4_2/nmc
mp-1131270;Pbca
mp-1131409;R-3m
mp-1131518;I4/mmm
mp-1131610;P6_3/mmc
mp-1131932;I4_1md
mp-1132197;P4/nmm
mp-1132271;Pnma
mp-1132304;Pna2_1
mp-1132458;Pm-3m
mp-1132510;I4/mmm
mp-1132520;P4/mnc
mp-1132565;C2/m
mp-1132575;P4/nmm
mp-1132589;Pmmn
mp-1132592;P2_1/c
mp-1132613;Cmcm
mp-1132631;Pm-3m
mp-1132749;I4/mmm
mp-1132799;P4_32_12
mp-1132831;P4_2/mbc
mp-1132873;Imma
mp-1132884;P6/mmm
mp-1132893;Cmcm
mp-1132983;P2_1/c
mp-1133067;Pbca
mp-1133277;Im-3m
mp-1133279;Pca2_1
mp-1133280;P4_2/nbc
